KBP relation,Max values (9 means no limit),Relation terms,Arg2 begins,Entity in,SlotFill in,Slot type,Arg1 terms,Arg2 terms
,,,,,,,,
org:alternate_names,9,known,as,arg1,arg2,ProperNoun,,
,,,,,,,,
org:date_dissolved,1,was closed down,in,arg1,arg2,Date,,
,,,,,,,,
org:top_members_employees,9,<HeadJobTitle> of,,arg2,arg1,Person,,
org:top_members_employees,9,<HeadJobTitle> at,,arg2,arg1,Person,,
org:top_members_employees,9,<HeadJobTitle> for,,arg2,arg1,Person,,
org:top_members_employees,9,<HeadJobTitle> in,,arg2,arg1,Person,,
org:top_members_employees,9,lead,by,arg1,arg2,Person,,
org:top_members_employees,9,head,by,arg1,arg2,Person,,
org:top_members_employees,9,run,by,arg1,arg2,Person,,
org:top_members_employees,9,resign,as,arg2,arg1,Person,,
org:top_members_employees,9,step down,as,arg2,arg1,Person,,
org:top_members_employees,9,chair,,arg2,arg1,Person,,
org:top_members_employees,9,lead,,arg2,arg1,Person,,
org:top_members_employees,9,head,,arg2,arg1,Person,,
org:top_members_employees,9,run,,arg2,arg1,Person,,
org:top_members_employees,9,appoint,,arg1,arg2,Person,,
org:top_members_employees,9,publish,,arg2,arg1,Person,,
org:top_members_employees,9,appointed,,arg1,arg2,Person,,
org:top_members_employees,9,appointing,,arg1,arg2,Person,,
org:top_members_employees,9,appoints,,arg1,arg2,Person,,
org:top_members_employees,9,chaired,,arg2,arg1,Person,,
org:top_members_employees,9,chairing,,arg2,arg1,Person,,
org:top_members_employees,9,chairing,,arg2,arg1,Person,,
org:top_members_employees,9,chairs,,arg2,arg1,Person,,
org:top_members_employees,9,chairs,,arg2,arg1,Person,,
org:top_members_employees,9,headed,,arg2,arg1,Person,,
org:top_members_employees,9,heading,,arg2,arg1,Person,,
org:top_members_employees,9,heads,,arg2,arg1,Person,,
org:top_members_employees,9,is headed,by,arg1,arg2,Person,,
org:top_members_employees,9,is led,by,arg1,arg2,Person,,
org:top_members_employees,9,is run,by,arg1,arg2,Person,,
org:top_members_employees,9,leading,,arg2,arg1,Person,,
org:top_members_employees,9,leads,,arg2,arg1,Person,,
org:top_members_employees,9,led,,arg2,arg1,Person,,
org:top_members_employees,9,published,,arg2,arg1,Person,,
org:top_members_employees,9,publishes,,arg2,arg1,Person,,
org:top_members_employees,9,publishing,,arg2,arg1,Person,,
org:top_members_employees,9,ran,,arg2,arg1,Person,,
org:top_members_employees,9,resigned,as,arg2,arg1,Person,,
org:top_members_employees,9,resigning,as,arg2,arg1,Person,,
org:top_members_employees,9,resigns,as,arg2,arg1,Person,,
org:top_members_employees,9,running,,arg2,arg1,Person,,
org:top_members_employees,9,runs,,arg2,arg1,Person,,
org:top_members_employees,9,stepped down,as,arg2,arg1,Person,,
org:top_members_employees,9,stepping down,as,arg2,arg1,Person,,
org:top_members_employees,9,steps down,as,arg2,arg1,Person,,
org:top_members_employees,9,was headed,by,arg1,arg2,Person,,
org:top_members_employees,9,was led,by,arg1,arg2,Person,,
org:top_members_employees,9,was run,by,arg1,arg2,Person,,
,,,,,,,,
org:alternate_names,1,means,,arg1,arg2,ProperNoun,,
org:alternate_names,1,known,as,arg1,arg2,ProperNoun,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
org:website,0,,,,,,,
,,,,,,,,
org:subsidiaries,9,subsidiary of,,arg2,arg1,Organization,,
org:subsidiaries,9,branch of,,arg2,arg1,Organization,,
org:subsidiaries,9,wing of,,arg2,arg1,Organization,,
org:subsidiaries,9,unit of,,arg2,arg1,Organization,,
org:subsidiaries,9,part of,,arg2,arg1,Organization,,
