filler_id	sf_id	system_id	slot_name	docid	fill_start_char	fill_end_char	filler	just_start_char	just_end_char	justification	norm_response	equiv_class_id	judgment
609	SF_ENG_041	LDC	org:alternate_names 	APW_ENG_20070319.1047.LDC2009T13	1579	1586	Carnival	281	301	Carnival Cruise Lines	Carnival	4fec7862dba4a96fbb00000b-entity-alt_nmes-2	1
610	SF_ENG_041	LDC	org:city_of_headquarters	APW_ENG_20070319.1047.LDC2009T13	1282	1286	Miami	889	1298	Carnival's 22 ships operate in the Bahamas and the Caribbean, where the cruise industry has cut prices and added incentives amid an overall sluggishness in bookings. &lt;/P&gt; &lt;P&gt; "Clearly consumers are taking note of the tremendous pricing available right now on our Caribbean voyages and the inherent quality and value of a Carnival cruise vacation," said Bob Dickinson, president and CEO of the Miami-based line.	Miami	4fec7862dba4a96fbb00000b-entity-city_of_hq-2	1
611	SF_ENG_041	LDC	org:founded_by	APW_ENG_20070709.1134.LDC2009T13	951	960	Ted Arison	868	960	Carnival Cruise Lines in 1972. He worked his way up the organization under founder Ted Arison	Ted Arison	4fec7862dba4a96fbb00000b-entity-fnded_by-2	1
612	SF_ENG_041	LDC	org:member_of	eng-NG-31-140208-9887450	4115	4142	World's Leading Cruise Lines	3988	4142	Carnival Cruise Lines, a unit of Carnival Corporation &amp;amp; plc (NYSE/LSE: CCL; NYSE: CUK), is a proud member of the exclusive World's Leading Cruise Lines	World's Leading Cruise Lines	4fec7862dba4a96fbb00000b-entity-mem_of-2	1
613	SF_ENG_041	LDC	org:parents	APW_ENG_20070319.1047.LDC2009T13	2518	2531	Carnival Corp.	2485	2531	Carnival Cruise Lines is part of Carnival Corp.	Carnival Corp.	4fec7862dba4a96fbb00000b-entity-parents-2	1
614	SF_ENG_041	LDC	org:parents	eng-NG-31-140208-9887450	4021	4040	Carnival Corporation	3988	4040	Carnival Cruise Lines, a unit of Carnival Corporation	Carnival Corporation	4fec7862dba4a96fbb00000b-entity-parents-2	1
615	SF_ENG_041	LDC	org:stateorprovince_of_headquarters	APW_ENG_20070223.0195.LDC2009T13	1559	1565	Florida	1558	1593	 Florida-based Carnival Cruise Lines	Florida	4fec7862dba4a96fbb00000b-entity-state_of_hq-2	1
616	SF_ENG_041	LDC	org:top_members_employees	APW_ENG_20070319.1047.LDC2009T13	1242	1254	Bob Dickinson	1242	1297	Bob Dickinson, president and CEO of the Miami-based line	Bob Dickinson	4fec7862dba4a96fbb00000b-entity-top_mem_emp-2	1
617	SF_ENG_041	LDC	org:top_members_employees	APW_ENG_20080311.1809.LDC2009T13	2323	2335	Gerald Cahill	2323	2379	Gerald Cahill, president and CEO of Carnival Cruise Lines	Gerald Cahill	4fec7862dba4a96fbb00000b-entity-top_mem_emp-3	1
618	SF_ENG_041	LDC	org:top_members_employees	APW_ENG_20070709.1134.LDC2009T13	332	347	Robert Dickinson	280	347	Carnival Cruise Lines president and chief executive Robert Dickinson	Robert Dickinson	4fec7862dba4a96fbb00000b-entity-top_mem_emp-4	1
