Infobox Airline:Alliance	org:member_of
Infobox Airline:Headquarters	org:country_of_headquarters
Infobox Airline:Headquarters	org:stateorprovince_of_headquarters
Infobox Airline:Headquarters	org:city_of_headquarters
Infobox Airline:IATA	org:alternate_names
Infobox Airline:ICAO	org:alternate_names
Infobox Airline:Key people	org:top_members/employees
Infobox Airline:Parent	org:parents
Infobox Airline:Parent Company	org:parents
Infobox Airline:airline	org:alternate_names
Infobox Airline:alliance	org:member_of
Infobox Airline:callsign	org:alternate_names
Infobox Airline:ceased	org:dissolved
Infobox Airline:ceased operations	org:dissolved
Infobox Airline:commenced	org:founded
Infobox Airline:company_name	org:alternate_names
Infobox Airline:employees	org:number_of_employees/members
Infobox Airline:founded	org:founded
Infobox Airline:headquarters	org:country_of_headquarters
Infobox Airline:headquarters	org:stateorprovince_of_headquarters
Infobox Airline:headquarters	org:city_of_headquarters
Infobox Airline:key_people	org:top_members/employees
Infobox Airline:parent	org:parents
Infobox Airline:subsidary	org:subsidiaries
Infobox Airline:subsidiaries	org:subsidiaries
Infobox Airline:subsidiary	org:subsidiaries
Infobox Airline:url	org:website
Infobox Airline:website	org:website
Infobox American State Political Party:assemblyleader	org:top_members/employees
Infobox American State Political Party:chairman	org:top_members/employees
Infobox American State Political Party:foundation	org:founded
Infobox American State Political Party:headquarters	org:country_of_headquarters
Infobox American State Political Party:headquarters	org:stateorprovince_of_headquarters
Infobox American State Political Party:headquarters	org:city_of_headquarters
Infobox American State Political Party:ideology	org:political/religious_affiliation
Infobox American State Political Party:national	org:member_of
Infobox American State Political Party:party_name	org:alternate_names
Infobox American State Political Party:senateleader	org:top_members/employees
Infobox American State Political Party:website	org:website
Infobox American_Political_Party:chairman	org:top_members/employees
Infobox American_Political_Party:fiscalpolicy	org:political/religious_affiliation
Infobox American_Political_Party:foundation	org:founded
Infobox American_Political_Party:headquarters	org:country_of_headquarters
Infobox American_Political_Party:headquarters	org:stateorprovince_of_headquarters
Infobox American_Political_Party:headquarters	org:city_of_headquarters
Infobox American_Political_Party:houseleader	org:top_members/employees
Infobox American_Political_Party:ideology	org:political/religious_affiliation
Infobox American_Political_Party:international	org:member_of
Infobox American_Political_Party:party_name	org:alternate_names
Infobox American_Political_Party:senateleader	org:top_members/employees
Infobox American_Political_Party:socialpolicy	org:political/religious_affiliation
Infobox American_Political_Party:website	org:website
Infobox Amtrak:owners	org:parents
Infobox Amtrak:start	org:founded
Infobox Aust school private:city	org:city_of_headquarters
Infobox Aust school private:country	org:country_of_headquarters
Infobox Aust school private:denomination	org:political/religious_affiliation
Infobox Aust school private:enrollment	org:number_of_employees/members
Infobox Aust school private:enrolment	org:number_of_employees/members
Infobox Aust school private:est	org:founded
Infobox Aust school private:established	org:founded
Infobox Aust school private:homepage	org:website
Infobox Aust school private:key_people	org:top_members/employees
Infobox Aust school private:magazine	org:subsidiaries
Infobox Aust school private:name	org:alternate_names
Infobox Aust school private:num_employ	org:number_of_employees/members
Infobox Aust school private:principal	org:top_members/employees
Infobox Aust school private:staff	org:number_of_employees/members
Infobox Aust school private:state	org:stateorprovince_of_headquarters
Infobox Aust school private:students	org:number_of_employees/members
Infobox Aust school private:website	org:website
Infobox Aust school:Blue_homepage	org:website
Infobox Aust school:Captains	org:top_members/employees
Infobox Aust school:Principal/_Headmaster	org:top_members/employees
Infobox Aust school:Suburb	org:city_of_headquarters
Infobox Aust school:affiliations	org:member_of
Infobox Aust school:affiliations	org:political/religious_affiliation
Infobox Aust school:captain	org:top_members/employees
Infobox Aust school:captains	org:top_members/employees
Infobox Aust school:city	org:city_of_headquarters
Infobox Aust school:deputy	org:top_members/employees
Infobox Aust school:deputy principals	org:top_members/employees
Infobox Aust school:enrollment	org:number_of_employees/members
Infobox Aust school:enrolment	org:number_of_employees/members
Infobox Aust school:established	org:founded
Infobox Aust school:homepage	org:website
Infobox Aust school:name	org:alternate_names
Infobox Aust school:newspaper	org:subsidiaries
Infobox Aust school:nickname	org:alternate_names
Infobox Aust school:principal	org:top_members/employees
Infobox Aust school:staff	org:number_of_employees/members
Infobox Aust school:state	org:stateorprovince_of_headquarters
Infobox Aust school:street/suburb	org:city_of_headquarters
Infobox Aust school:students	org:number_of_employees/members
Infobox Aust school:vice principal	org:top_members/employees
Infobox Aust school:website	org:website
Infobox Australian Political Party:deputy	org:top_members/employees
Infobox Australian Political Party:disbanded	org:dissolved
Infobox Australian Political Party:foundation	org:founded
Infobox Australian Political Party:headquarters	org:country_of_headquarters
Infobox Australian Political Party:headquarters	org:stateorprovince_of_headquarters
Infobox Australian Political Party:headquarters	org:city_of_headquarters
Infobox Australian Political Party:ideology	org:political/religious_affiliation
Infobox Australian Political Party:leader	org:top_members/employees
Infobox Australian Political Party:party_name	org:alternate_names
Infobox Australian Political Party:website	org:website
Infobox Australian police:commissioner	org:top_members/employees
Infobox Australian police:employees	org:number_of_employees/members
Infobox Australian police:established	org:founded
Infobox Australian police:headquarters	org:country_of_headquarters
