AFP_ENG_20090531.0001	0	58	Chile swine flu cases jump to 276	NNP VBP NN NNS VBP TO CD	B-NP B-VP B-NP I-NP B-VP B-PP O	0 6 12 16 22 27 30	amod(flu_NN_2_12, swine_JJ_1_6); nn(cases_NNS_3_16, Chile_NNP_0_0); nn(cases_NNS_3_16, flu_NN_2_12); nsubj(jump_VBP_4_22, cases_NNS_3_16); prep(jump_VBP_4_22, to_IN_5_27); pobj(to_IN_5_27, 276_CD_6_30)
AFP_ENG_20090531.0001	1	167	Chilean health authorities confirmed 26 new cases of swine flu on Sunday , raising the number of patients with A( H1N1 ) virus in the country to 276 , the highest number on the continent .	JJ NN NNS VBD CD JJ NNS IN NN NN IN NNP , VBG DT NN IN NNS IN JJ NNP -RRB- NN IN DT NN TO CD , DT JJS NN IN DT NN .	B-NP I-NP I-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP O B-VP B-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP O B-NP I-NP I-NP B-PP B-NP I-NP O	0 8 15 27 37 40 44 50 53 59 63 66 72 74 82 86 93 96 105 110 112 116 118 124 127 131 139 142 145 147 151 159 166 169 173 182	amod(authorities_NNS_2_15, Chilean_JJ_0_0); nn(authorities_NNS_2_15, health_NN_1_8); nsubj(confirmed_VBD_3_27, authorities_NNS_2_15); dobj(confirmed_VBD_3_27, cases_NNS_6_44); prep(confirmed_VBD_3_27, on_IN_10_63); punct(confirmed_VBD_3_27, ,_,_12_72); advcl(confirmed_VBD_3_27, raising_VBG_13_74); punct(confirmed_VBD_3_27, ,_,_29_145); punct(confirmed_VBD_3_27, ._._36_182); num(cases_NNS_6_44, 26_CD_4_37); amod(cases_NNS_6_44, new_JJ_5_40); prep(cases_NNS_6_44, of_IN_7_50); pobj(of_IN_7_50, flu_NN_9_59); amod(flu_NN_9_59, swine_JJ_8_53); pobj(on_IN_10_63, Sunday_NNP_11_66); appos(Sunday_NNP_11_66, number_NN_32_159); dobj(raising_VBG_13_74, number_NN_15_86); prep(raising_VBG_13_74, with_IN_18_105); prep(raising_VBG_13_74, in_IN_24_124); prep(raising_VBG_13_74, to_IN_27_139); det(number_NN_15_86, the_DT_14_82); prep(number_NN_15_86, of_IN_16_93); pobj(of_IN_16_93, patients_NNS_17_96); pobj(with_IN_18_105, virus_NN_23_118); det(virus_NN_23_118, A_DT_19_110); punct(virus_NN_23_118, _-LRB-_20_111); nn(virus_NN_23_118, H1N1_NNP_21_112); punct(virus_NN_23_118, _-RRB-_22_116); pobj(in_IN_24_124, country_NN_26_131); det(country_NN_26_131, the_DT_25_127); pobj(to_IN_27_139, 276_CD_28_142); det(number_NN_32_159, the_DT_30_147); amod(number_NN_32_159, highest_JJS_31_151); prep(number_NN_32_159, on_IN_33_166); pobj(on_IN_33_166, continent_NN_35_173); det(continent_NN_35_173, the_DT_34_169)
AFP_ENG_20090531.0001	2	360	The sometimes-deadly disease continued its rise across Latin America meanwhile with Argentina , Brazil , Bolivia , Peru and the Dominican Republic all reporting new cases .	DT NN NN VBD PRP$ NN IN NNP NNP RB IN NNP , NNP , NNP , NNP CC DT NNP NNP DT VBG JJ NNS .	B-NP I-NP I-NP B-VP B-NP I-NP B-PP B-NP I-NP B-ADVP B-PP B-NP O B-NP O B-NP O B-NP O B-NP I-NP I-NP O B-VP B-NP I-NP O	0 4 21 29 39 43 48 55 61 69 79 84 93 95 101 103 110 112 117 121 125 135 144 148 158 162 167	hmod(deadly_JJ_3_14, sometimes_RB_1_4); hyph(deadly_JJ_3_14, -_HYPH_2_13); det(disease_NN_4_21, The_DT_0_0); amod(disease_NN_4_21, deadly_JJ_3_14); nsubj(continued_VBD_5_29, disease_NN_4_21); dobj(continued_VBD_5_29, rise_NN_7_43); advmod(continued_VBD_5_29, meanwhile_RB_11_69); prep(continued_VBD_5_29, with_IN_12_79); advcl(continued_VBD_5_29, reporting_VBG_25_148); punct(continued_VBD_5_29, ._._28_167); poss(rise_NN_7_43, its_PRP$_6_39); prep(rise_NN_7_43, across_IN_8_48); pobj(across_IN_8_48, America_NNP_10_61); nn(America_NNP_10_61, Latin_NNP_9_55); pobj(with_IN_12_79, Argentina_NNP_13_84); punct(Argentina_NNP_13_84, ,_,_14_93); conj(Argentina_NNP_13_84, Brazil_NNP_15_95); punct(Brazil_NNP_15_95, ,_,_16_101); conj(Brazil_NNP_15_95, Bolivia_NNP_17_103); punct(Bolivia_NNP_17_103, ,_,_18_110); conj(Bolivia_NNP_17_103, Peru_NNP_19_112); cc(Peru_NNP_19_112, and_CC_20_117); conj(Peru_NNP_19_112, Republic_NNP_23_135); det(Republic_NNP_23_135, the_DT_21_121); nn(Republic_NNP_23_135, Dominican_NNP_22_125); dep(reporting_VBG_25_148, all_DT_24_144); dobj(reporting_VBG_25_148, cases_NNS_27_162); amod(cases_NNS_27_162, new_JJ_26_158)
AFP_ENG_20090531.0001	3	538	Officials here said that most of the victims were in the capital , and that most cases were mild and being treated at home .	NNS RB VBD IN JJS IN DT NNS VBD IN DT NN , CC IN JJS NNS VBD JJ CC VBG VBN IN NN .	B-NP B-ADVP B-VP B-SBAR B-NP B-PP B-NP I-NP B-VP B-PP B-NP I-NP O O B-NP I-NP I-NP B-VP B-ADJP O B-VP I-VP B-PP B-NP O	0 10 15 20 25 30 33 37 45 50 53 57 64 66 70 75 80 86 91 96 100 106 114 117 121	advmod(Officials_NNS_0_0, here_RB_1_10); nsubj(said_VBD_2_15, Officials_NNS_0_0); ccomp(said_VBD_2_15, were_VBD_8_45); punct(said_VBD_2_15, ._._24_121); prep(most_JJS_4_25, of_IN_5_30); pobj(of_IN_5_30, victims_NNS_7_37); det(victims_NNS_7_37, the_DT_6_33); complm(were_VBD_8_45, that_IN_3_20); nsubj(were_VBD_8_45, most_JJS_4_25); prep(were_VBD_8_45, in_IN_9_50); punct(were_VBD_8_45, ,_,_12_64); cc(were_VBD_8_45, and_CC_13_66); conj(were_VBD_8_45, were_VBD_17_86); pobj(in_IN_9_50, capital_NN_11_57); det(capital_NN_11_57, the_DT_10_53); amod(cases_NNS_16_80, most_JJS_15_75); mark(were_VBD_17_86, that_IN_14_70); nsubj(were_VBD_17_86, cases_NNS_16_80); acomp(were_VBD_17_86, mild_JJ_18_91); cc(were_VBD_17_86, and_CC_19_96); conj(were_VBD_17_86, treated_VBN_21_106); auxpass(treated_VBN_21_106, being_VBG_20_100); prep(treated_VBN_21_106, at_IN_22_114); pobj(at_IN_22_114, home_NN_23_117)
AFP_ENG_20090531.0001	4	661	Three people remain in serious condition in hospital , however .	CD NNS VBP IN JJ NN IN NN , RB .	B-NP I-NP B-VP B-PP B-NP I-NP B-PP B-NP O B-ADVP O	0 6 13 20 23 31 41 44 52 54 61	num(people_NNS_1_6, Three_CD_0_0); nsubj(remain_VBP_2_13, people_NNS_1_6); prep(remain_VBP_2_13, in_IN_3_20); punct(remain_VBP_2_13, ,_,_8_52); advmod(remain_VBP_2_13, however_RB_9_54); punct(remain_VBP_2_13, ._._10_61); pobj(in_IN_3_20, condition_NN_5_31); amod(condition_NN_5_31, serious_JJ_4_23); prep(condition_NN_5_31, in_IN_6_41); pobj(in_IN_6_41, hospital_NN_7_44)
AFP_ENG_20090531.0001	5	733	Swine flu has killed nearly a hundred and infected over 15,500 worldwide , according to World Health Organization ( WHO ) figures , since it emerged in North America in late April .	NNP NN VBZ VBN RB DT CD CC VBD IN CD NN , VBG TO NNP NNP NNP -LRB- WP -RRB- NNS , IN PRP VBD IN NNP NNP IN JJ NNP .	B-NP I-NP B-VP I-VP B-NP I-NP I-NP O B-VP B-PP B-NP I-NP O B-PP B-PP B-NP I-NP I-NP O B-NP I-NP I-NP O B-SBAR B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O	0 6 10 14 21 28 30 38 42 51 56 63 72 74 84 87 93 100 113 114 117 119 126 128 134 137 145 148 154 162 165 170 175	amod(flu_NN_1_6, Swine_JJ_0_0); nsubj(killed_VBN_3_14, flu_NN_1_6); aux(killed_VBN_3_14, has_VBZ_2_10); dobj(killed_VBN_3_14, hundred_CD_6_30); cc(killed_VBN_3_14, and_CC_7_38); conj(killed_VBN_3_14, infected_VBD_8_42); dobj(killed_VBN_3_14, figures_NNS_21_119); advcl(killed_VBN_3_14, emerged_VBD_25_137); punct(killed_VBN_3_14, ._._32_175); advmod(hundred_CD_6_30, nearly_RB_4_21); quantmod(hundred_CD_6_30, a_DT_5_28); prep(infected_VBD_8_42, over_IN_9_51); advmod(infected_VBD_8_42, worldwide_RB_11_63); punct(infected_VBD_8_42, ,_,_12_72); conj(infected_VBD_8_42, according_VBG_13_74); pobj(over_IN_9_51, 15,500_CD_10_56); prep(according_VBG_13_74, to_IN_14_84); pobj(to_IN_14_84, Organization_NNP_17_100); nn(Organization_NNP_17_100, World_NNP_15_87); nn(Organization_NNP_17_100, Health_NNP_16_93); punct(Organization_NNP_17_100, _-LRB-_18_113); appos(Organization_NNP_17_100, WHO_NNP_19_114); punct(Organization_NNP_17_100, _-RRB-_20_117); punct(figures_NNS_21_119, ,_,_22_126); mark(emerged_VBD_25_137, since_IN_23_128); nsubj(emerged_VBD_25_137, it_PRP_24_134); prep(emerged_VBD_25_137, in_IN_26_145); prep(emerged_VBD_25_137, in_IN_29_162); pobj(in_IN_26_145, America_NNP_28_154); nn(America_NNP_28_154, North_NNP_27_148); pobj(in_IN_29_162, April_NNP_31_170); amod(April_NNP_31_170, late_JJ_30_165)
AFP_ENG_20090531.0001	6	919	According to figures released by individual governments , the virus has actually now killed more than 110 people around the world .	VBG TO NNS VBN IN JJ NNS , DT NN VBZ RB RB VBN JJR IN CD NNS IN DT NN .	B-PP B-PP B-NP B-VP B-PP B-NP I-NP O B-NP I-NP B-VP I-VP I-VP I-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O	0 10 13 21 30 33 44 55 57 61 67 71 80 84 91 96 101 105 112 119 123 128	prep(According_VBG_0_0, to_IN_1_10); pobj(to_IN_1_10, figures_NNS_2_13); partmod(figures_NNS_2_13, released_VBN_3_21); agent(released_VBN_3_21, by_IN_4_30); pobj(by_IN_4_30, governments_NNS_6_44); amod(governments_NNS_6_44, individual_JJ_5_33); det(virus_NN_9_61, the_DT_8_57); prep(killed_VBN_13_84, According_VBG_0_0); punct(killed_VBN_13_84, ,_,_7_55); nsubj(killed_VBN_13_84, virus_NN_9_61); aux(killed_VBN_13_84, has_VBZ_10_67); advmod(killed_VBN_13_84, actually_RB_11_71); advmod(killed_VBN_13_84, now_RB_12_80); dobj(killed_VBN_13_84, people_NNS_17_105); punct(killed_VBN_13_84, ._._21_128); amod(110_CD_16_101, more_JJR_14_91); quantmod(110_CD_16_101, than_IN_15_96); num(people_NNS_17_105, 110_CD_16_101); prep(people_NNS_17_105, around_IN_18_112); pobj(around_IN_18_112, world_NN_20_123); det(world_NN_20_123, the_DT_19_119)
AFP_ENG_20090531.0001	7	1058	In the southern hemisphere , health experts fear the new virus could take hold , as winter sets in and the regular flu season gets underway .	IN DT JJ NN , NN NNS VBP DT JJ NN MD VB VB , IN NN NNS IN CC DT JJ NN NN VBZ RB .	B-PP B-NP I-NP I-NP O B-NP I-NP B-VP B-NP I-NP I-NP B-VP I-VP B-NP O B-PP B-NP I-NP B-PP O B-NP I-NP I-NP I-NP B-VP B-ADVP O	0 3 7 16 26 28 35 43 48 52 56 62 68 73 77 79 82 89 94 97 101 105 113 117 124 129 137	pobj(In_IN_0_0, hemisphere_NN_3_16); det(hemisphere_NN_3_16, the_DT_1_3); amod(hemisphere_NN_3_16, southern_JJ_2_7); nn(experts_NNS_6_35, health_NN_5_28); prep(fear_VBP_7_43, In_IN_0_0); punct(fear_VBP_7_43, ,_,_4_26); nsubj(fear_VBP_7_43, experts_NNS_6_35); ccomp(fear_VBP_7_43, take_VB_12_68); punct(fear_VBP_7_43, ._._26_137); det(virus_NN_10_56, the_DT_8_48); amod(virus_NN_10_56, new_JJ_9_52); nsubj(take_VB_12_68, virus_NN_10_56); aux(take_VB_12_68, could_MD_11_62); dobj(take_VB_12_68, hold_NN_13_73); punct(take_VB_12_68, ,_,_14_77); dobj(take_VB_12_68, sets_NNS_17_89); advcl(take_VB_12_68, gets_VBZ_24_124); nn(sets_NNS_17_89, winter_NN_16_82); prep(sets_NNS_17_89, in_IN_18_94); cc(sets_NNS_17_89, and_CC_19_97); det(season_NN_23_117, the_DT_20_101); amod(season_NN_23_117, regular_JJ_21_105); nn(season_NN_23_117, flu_NN_22_113); mark(gets_VBZ_24_124, as_IN_15_79); nsubj(gets_VBZ_24_124, season_NN_23_117); acomp(gets_VBZ_24_124, underway_JJ_25_129)
AFP_ENG_20090531.0001	8	1206	Argentine health authorities meanwhile reported 15 new cases on Sunday , a day after reporting 20 new cases , raising the country 's total patient count to 115 .	JJ NN NNS RB VBD CD JJ NNS IN NNP , DT NN IN VBG CD JJ NNS , VBG DT NN POS JJ NN NN TO CD .	B-NP I-NP I-NP B-ADVP B-VP B-NP I-NP I-NP B-PP B-NP O B-NP I-NP B-PP B-VP B-NP I-NP I-NP O B-VP B-NP I-NP B-NP I-NP I-NP I-NP B-PP B-NP O	0 10 17 29 39 48 51 55 61 64 70 72 74 78 84 94 97 101 106 108 116 120 127 130 136 144 150 153 156	amod(authorities_NNS_2_17, Argentine_JJ_0_0); nn(authorities_NNS_2_17, health_NN_1_10); nsubj(reported_VBD_4_39, authorities_NNS_2_17); advmod(reported_VBD_4_39, meanwhile_RB_3_29); dobj(reported_VBD_4_39, cases_NNS_7_55); prep(reported_VBD_4_39, on_IN_8_61); npadvmod(reported_VBD_4_39, day_NN_12_74); punct(reported_VBD_4_39, ,_,_18_106); advcl(reported_VBD_4_39, raising_VBG_19_108); punct(reported_VBD_4_39, ._._28_156); num(cases_NNS_7_55, 15_CD_5_48); amod(cases_NNS_7_55, new_JJ_6_51); pobj(on_IN_8_61, Sunday_NNP_9_64); punct(Sunday_NNP_9_64, ,_,_10_70); det(day_NN_12_74, a_DT_11_72); prep(day_NN_12_74, after_IN_13_78); pcomp(after_IN_13_78, reporting_VBG_14_84); dobj(reporting_VBG_14_84, cases_NNS_17_101); num(cases_NNS_17_101, 20_CD_15_94); amod(cases_NNS_17_101, new_JJ_16_97); dobj(raising_VBG_19_108, count_NN_25_144); prep(raising_VBG_19_108, to_IN_26_150); det(country_NN_21_120, the_DT_20_116); possessive(country_NN_21_120, 's_POS_22_127); poss(count_NN_25_144, country_NN_21_120); amod(count_NN_25_144, total_JJ_23_130); nn(count_NN_25_144, patient_JJ_24_136); pobj(to_IN_26_150, 115_CD_27_153)
AFP_ENG_20090531.0001	9	1373	Officials in Buenos Aires said those with new swine flu infections were recovering well and that most of them were found at several private schools in the capital , where students had recently returned from the United States .	NNS IN NNP NNP VBD DT IN JJ NN NN NNS VBD VBG RB CC DT JJS IN PRP VBD VBN IN JJ JJ NNS IN DT NN , WRB NNS VBD RB VBN IN DT NNP NNP .	B-NP B-PP B-NP I-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP B-VP I-VP B-ADVP O B-NP I-NP B-PP B-NP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP O B-ADVP B-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP O	0 10 13 20 26 31 37 42 46 52 56 67 72 83 88 92 97 102 105 110 115 121 124 132 140 148 151 155 162 164 170 179 183 192 201 206 210 217 223	prep(Officials_NNS_0_0, in_IN_1_10); pobj(in_IN_1_10, Aires_NNP_3_20); nn(Aires_NNP_3_20, Buenos_NNP_2_13); nsubj(said_VBD_4_26, Officials_NNS_0_0); dobj(said_VBD_4_26, those_DT_5_31); ccomp(said_VBD_4_26, recovering_VBG_12_72); punct(said_VBD_4_26, ._._38_223); prep(those_DT_5_31, with_IN_6_37); pobj(with_IN_6_37, infections_NNS_10_56); amod(flu_NN_9_52, swine_JJ_8_46); amod(infections_NNS_10_56, new_JJ_7_42); nn(infections_NNS_10_56, flu_NN_9_52); aux(recovering_VBG_12_72, were_VBD_11_67); advmod(recovering_VBG_12_72, well_RB_13_83); cc(recovering_VBG_12_72, and_CC_14_88); conj(recovering_VBG_12_72, found_VBN_20_115); prep(most_JJS_16_97, of_IN_17_102); pobj(of_IN_17_102, them_PRP_18_105); mark(found_VBN_20_115, that_IN_15_92); nsubjpass(found_VBN_20_115, most_JJS_16_97); auxpass(found_VBN_20_115, were_VBD_19_110); prep(found_VBN_20_115, at_IN_21_121); advcl(found_VBN_20_115, returned_VBN_33_192); pobj(at_IN_21_121, schools_NNS_24_140); amod(schools_NNS_24_140, several_JJ_22_124); amod(schools_NNS_24_140, private_JJ_23_132); prep(schools_NNS_24_140, in_IN_25_148); pobj(in_IN_25_148, capital_NN_27_155); det(capital_NN_27_155, the_DT_26_151); punct(capital_NN_27_155, ,_,_28_162); advmod(returned_VBN_33_192, where_WRB_29_164); nsubj(returned_VBN_33_192, students_NNS_30_170); aux(returned_VBN_33_192, had_VBD_31_179); advmod(returned_VBN_33_192, recently_RB_32_183); prep(returned_VBN_33_192, from_IN_34_201); pobj(from_IN_34_201, States_NNP_37_217); det(States_NNP_37_217, the_DT_35_206); nn(States_NNP_37_217, United_NNP_36_210)
AFP_ENG_20090531.0001	10	1607	The outbreak has prompted officials to close the schools for two weeks in a bid to contain the virus .	DT NN VBZ VBN NNS TO VB DT NNS IN CD NNS IN DT NN TO VB DT NN .	B-NP I-NP B-VP I-VP B-NP B-VP I-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP B-VP I-VP B-NP I-NP O	0 4 13 17 26 36 39 45 49 57 61 65 71 74 76 80 83 91 95 100	det(outbreak_NN_1_4, The_DT_0_0); nsubj(prompted_VBN_3_17, outbreak_NN_1_4); aux(prompted_VBN_3_17, has_VBZ_2_13); dobj(prompted_VBN_3_17, officials_NNS_4_26); xcomp(prompted_VBN_3_17, close_VB_6_39); punct(prompted_VBN_3_17, ._._19_100); aux(close_VB_6_39, to_TO_5_36); dobj(close_VB_6_39, schools_NNS_8_49); prep(close_VB_6_39, for_IN_9_57); prep(close_VB_6_39, in_IN_12_71); det(schools_NNS_8_49, the_DT_7_45); pobj(for_IN_9_57, weeks_NNS_11_65); num(weeks_NNS_11_65, two_CD_10_61); pobj(in_IN_12_71, bid_NN_14_76); det(bid_NN_14_76, a_DT_13_74); infmod(bid_NN_14_76, contain_VB_16_83); aux(contain_VB_16_83, to_TO_15_80); dobj(contain_VB_16_83, virus_NN_18_95); det(virus_NN_18_95, the_DT_17_91)
